collision_id,vehicle_id,person_id,year,month,day,hour,day_of_week,crash_time,zip_code,latitude,longitude,num_injured,num_killed,num_casualty,vehicle_type,vehicle_year,driver_license_status,driver_license_jurisdiction,person_type,person_role,person_age,person_sex,person_eje,person_safe_equip
4381112,NA,NA,2021,1,1,0,星期五,00:30:00,10016,40.741524,-73.97983,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4380908,19823058,11539115,2021,1,1,0,星期五,00:30:00,10027,40.807323,-73.94236,0,0,0,Taxi,2014,Licensed,NY,Occupant,Driver,46,M,Not Ejected,Lap Belt & Harness
4380908,19823057,11539113,2021,1,1,0,星期五,00:30:00,10027,40.807323,-73.94236,0,0,0,Taxi,2019,Licensed,NY,Occupant,Driver,46,M,Not Ejected,Lap Belt & Harness
4380810,19821941,11537244,2021,1,1,1,星期五,01:02:00,10029,40.78744,-73.94478,2,0,2,Taxi,2016,Licensed,NY,Occupant,Driver,52,M,Not Ejected,Lap Belt & Harness
4380810,NA,11537247,2021,1,1,1,星期五,01:02:00,10029,40.78744,-73.94478,2,0,2,NA,NA,NA,NA,Pedestrian,Pedestrian,19,F,NA,NA
4380810,NA,11537246,2021,1,1,1,星期五,01:02:00,10029,40.78744,-73.94478,2,0,2,NA,NA,NA,NA,Pedestrian,Pedestrian,20,M,NA,NA
4381368,19824027,11540776,2021,1,1,1,星期五,01:12:00,10019,40.76325,-73.989136,0,0,0,Bike,NA,Licensed,NY,Bicyclist,Driver,35,M,Not Ejected,NA
4381368,19824026,11540775,2021,1,1,1,星期五,01:12:00,10019,40.76325,-73.989136,0,0,0,Station Wagon/Sport Utility Vehicle,2020,Licensed,NY,Occupant,Driver,60,M,Not Ejected,NA
4382872,19826970,11545910,2021,1,1,2,星期五,02:45:00,10027,NA,NA,1,0,1,Bus,2009,Licensed,NY,Occupant,Driver,56,M,Not Ejected,Lap Belt & Harness
4382872,19826969,11545908,2021,1,1,2,星期五,02:45:00,10027,NA,NA,1,0,1,Taxi,2019,Licensed,NY,Occupant,Driver,25,M,Not Ejected,Lap Belt & Harness
4383252,19827766,11547345,2021,1,1,3,星期五,03:50:00,10002,40.718143,-73.993835,0,0,0,Sedan,2017,Unlicensed,NA,Occupant,Passenger,32,F,Not Ejected,Lap Belt & Harness
4383252,19827766,11547344,2021,1,1,3,星期五,03:50:00,10002,40.718143,-73.993835,0,0,0,Sedan,2017,Unlicensed,NA,Occupant,Passenger,32,M,Not Ejected,Lap Belt & Harness
4383252,19827766,11547343,2021,1,1,3,星期五,03:50:00,10002,40.718143,-73.993835,0,0,0,Sedan,2017,Unlicensed,NA,Occupant,Passenger,15,M,Not Ejected,Lap Belt & Harness
4383252,19827766,11547339,2021,1,1,3,星期五,03:50:00,10002,40.718143,-73.993835,0,0,0,Sedan,2017,Unlicensed,NA,Occupant,Driver,32,M,Not Ejected,Lap Belt & Harness
4383252,19827767,11547340,2021,1,1,3,星期五,03:50:00,10002,40.718143,-73.993835,0,0,0,Sedan,2009,NA,NA,Occupant,Driver,NA,U,Not Ejected,NA
4381314,19823353,11539634,2021,1,1,4,星期五,04:30:00,10007,40.711533,-74.01047,0,0,0,Taxi,2016,Licensed,NY,Occupant,Driver,24,M,Not Ejected,Lap Belt & Harness
4380738,19822002,11537344,2021,1,1,5,星期五,05:17:00,10029,40.799007,-73.94255,2,0,2,Station Wagon/Sport Utility Vehicle,2016,Licensed,NY,Occupant,Driver,34,M,Not Ejected,Lap Belt & Harness
4380738,19822002,11537347,2021,1,1,5,星期五,05:17:00,10029,40.799007,-73.94255,2,0,2,Station Wagon/Sport Utility Vehicle,2016,Licensed,NY,Occupant,Passenger,27,M,Not Ejected,Lap Belt & Harness
4380738,19822003,11537346,2021,1,1,5,星期五,05:17:00,10029,40.799007,-73.94255,2,0,2,Station Wagon/Sport Utility Vehicle,2014,Licensed,NY,Occupant,Driver,50,M,Not Ejected,Lap Belt & Harness
4381171,19823400,11539707,2021,1,1,5,星期五,05:40:00,10027,40.813797,-73.94987,0,0,0,Station Wagon/Sport Utility Vehicle,2006,Licensed,PA,Occupant,Driver,29,M,Not Ejected,Lap Belt
4381171,19823399,11539705,2021,1,1,5,星期五,05:40:00,10027,40.813797,-73.94987,0,0,0,Sedan,2016,Licensed,NY,Occupant,Driver,19,M,Not Ejected,NA
